"Hôtellerie: arrivées et nuitées des établissements ouverts selon l'année, le mois, la région touristique et la provenance des hôtes"

"Année";"Mois";"Région touristique";"Suisse Nuitées";"Pays baltes Nuitées";"Allemagne Nuitées";"France Nuitées";"Italie Nuitées";"Autriche Nuitées";"Royaume-Uni Nuitées";"Irlande (Eire) Nuitées";"Pays-Bas Nuitées";"Belgique Nuitées";"Luxembourg Nuitées";"Danemark Nuitées";"Suède Nuitées";"Norvège Nuitées";"Finlande Nuitées";"Espagne Nuitées";"Portugal Nuitées";"Grèce Nuitées";"Turquie Nuitées";"Autres Europe Nuitées";"Liechtenstein Nuitées";"Islande Nuitées";"Pologne Nuitées";"Hongrie Nuitées";"Biélorussie Nuitées";"Bulgarie Nuitées";"Malte Nuitées";"Chypre Nuitées";"Chili Nuitées";"Etats-Unis d'Amérique Nuitées";"Canada Nuitées";"Mexique Nuitées";"Brésil Nuitées";"Argentine Nuitées";"Amérique Centrale, Caraïbes Nuitées";"Autres Amérique du Sud Nuitées";"Autres Amérique centrale, Caraïbes Nuitées";"Egypte Nuitées";"Autres Afrique du Nord Nuitées";"Afrique du Sud Nuitées";"Autres Afrique Nuitées";"Bahreïn Nuitées";"Israël Nuitées";"Inde Nuitées";"Japon Nuitées";"Autres Asie de l'Est Nuitées";"Qatar Nuitées";"Koweït Nuitées";"Australie Nuitées";"Australie, N.Zélande, Océanie Nuitées";"Chine (sans Hongkong) Nuitées";"Pays du Golfe Nuitées";"Hongkong Nuitées";"Indonésie Nuitées";"République de Corée Nuitées";"Malaisie Nuitées";"Philippines Nuitées";"Nouvelle Zélande, Océanie Nuitées";"Singapour Nuitées";"Oman Nuitées";"Chine (Taiwan) Nuitées";"Thaïlande Nuitées";"Autres Asie de l'Ouest Nuitées";"Estonie Nuitées";"Lettonie Nuitées";"Lituanie Nuitées";"Arabie Saoudite Nuitées";"Emirats Arabes Unis Nuitées";"Serbie et Monténégro Nuitées";"Croatie Nuitées";"Roumanie Nuitées";"Russie Nuitées";"Slovaquie Nuitées";"Slovénie Nuitées";"République tchèque Nuitées";"Ukraine Nuitées";"Serbie Nuitées"
"2007";"Juillet";"Suisse";1714431;5571;624811;143730;108360;44222;233041;10274;139433;124642;8550;19299;17815;11422;8272;48687;9053;13289;6064;25585;2796;1656;11420;11471;1467;3427;...;...;1531;233356;25167;...;14271;3092;11584;6629;...;4750;8106;6822;7400;...;23386;40372;136596;13947;...;...;...;31649;25518;71668;6595;2164;29134;3272;992;...;4310;...;7504;4108;7098;...;...;...;...;...;2242;2173;8701;28104;3832;2064;10281;4457;...
"2007";"Août";"Suisse";1599680;5746;708886;168617;187634;45852;248838;8166;126086;111264;14395;11627;11727;5347;5166;83017;11085;15693;4803;29482;2682;2055;9627;10727;919;3181;...;...;884;165988;18666;...;9835;3318;7828;4741;...;5332;8198;5434;8160;...;31299;33552;86037;10026;...;...;...;23553;24649;138250;5240;1320;19156;2681;892;...;4251;...;5306;3069;7898;...;...;...;...;...;1968;1921;10442;28537;3226;2708;10506;3814;...
"2007";"Septembre";"Suisse";1545759;4982;634165;101662;77167;39459;189172;7804;73115;51603;8757;12631;16324;8930;6481;39560;9095;7272;6153;25404;2322;1237;9785;6753;574;3313;...;...;1269;191306;23946;...;14173;3641;9690;5813;...;3576;4822;6605;10129;...;16275;26519;53451;9518;...;...;...;31800;22696;17593;4166;1898;13849;3429;1497;...;4859;...;5704;4593;5161;...;...;...;...;...;2223;2600;7426;21250;3334;2221;8236;3123;...
"2007";"Octobre";"Suisse";1402148;4015;399946;86277;68637;30199;117161;7531;40092;22916;4781;8798;14890;7681;6528;30743;9365;7663;6589;23052;2551;1037;8485;6292;772;3255;...;...;1039;133884;18498;...;14609;2971;8843;6318;...;2990;4915;5890;11435;...;10736;22514;32379;11585;...;...;...;24570;20979;14359;4124;3864;12555;3391;1162;...;4777;...;5555;7557;5206;...;...;...;...;...;2483;2507;5983;21400;3351;1632;5474;4010;...
"2007";"Novembre";"Suisse";839638;3479;237162;80039;71697;22315;79827;6145;23524;17495;2837;6586;10661;5852;5162;25636;8054;6578;5927;14609;1967;766;8237;5979;691;3132;...;...;573;81081;13931;...;11621;2049;7249;4442;...;3832;5847;4006;10297;...;6939;15834;19181;8269;...;...;...;12135;17374;15403;2981;2076;11327;4193;1280;...;5673;...;4430;3835;6010;...;...;...;...;...;2605;2581;6288;22410;2458;1704;5112;4113;...
"2007";"Décembre";"Suisse";1016682;3637;420067;103337;108927;19726;187732;9665;74132;50862;12153;8572;10470;5199;5777;36367;8079;26462;6916;17484;1817;1366;8221;4126;1083;2469;...;...;498;82348;11780;...;11338;1440;5576;3326;...;2061;4312;7682;6864;...;9190;12126;15682;6234;...;...;...;19930;17368;14235;4092;3966;9319;4909;872;...;9580;...;3150;4455;3744;...;...;...;...;...;2273;2404;8117;35879;2326;1292;5803;5170;...
"2008";"Janvier";"Suisse";1306384;4212;518442;105561;95635;28874;205990;9740;82115;73584;13784;11099;20082;7420;6570;29931;7512;12583;11329;19192;1953;1136;12301;4847;1893;2849;...;...;851;93926;14434;...;16603;2502;6211;3715;...;2280;4361;13112;7011;...;10581;8456;14553;6825;...;...;...;24112;10822;13174;2399;1077;11962;3315;1121;...;4167;...;2076;2685;3751;...;...;...;...;...;2336;2646;7577;107202;2269;1819;5078;12896;...
"2008";"Février";"Suisse";1533151;3812;561972;173086;99432;30236;291428;11765;162508;105245;26400;19424;36670;14892;12038;29637;11999;7728;10857;19676;2523;1770;14504;4898;957;3219;...;...;859;89128;13718;...;11656;1923;5946;3718;...;2892;4953;5250;8227;...;11881;11861;15719;7583;...;...;...;11713;15142;15011;5617;1628;8923;2473;974;...;4469;...;2787;3520;4071;...;...;...;...;...;2156;2512;7010;38736;3217;2494;6987;4731;...
"2008";"Mars";"Suisse";1398586;6782;776816;144556;110916;37160;272989;11905;90143;128746;15269;14816;39805;12407;9998;42241;12158;9444;6791;21073;2838;1332;13756;6078;1222;3554;...;...;851;111432;18720;...;10765;2018;7428;3504;...;2614;5327;6986;9247;...;13418;16235;19864;6891;...;...;...;12522;12926;15068;3891;1744;7689;3767;856;...;6353;...;3449;7365;3567;...;...;...;...;...;2754;2649;6219;47135;3405;1887;12142;6056;...
"2008";"Avril";"Suisse";998594;4221;356097;97383;84114;30954;153735;5421;45461;44567;5085;9527;17019;6938;6601;28062;8218;10719;7890;19285;1918;986;10850;5184;701;3650;...;...;905;112033;16096;...;12085;2730;7046;4696;...;3388;5147;5366;7611;...;11600;27790;27519;10387;...;...;...;15751;23417;19218;6749;2340;10739;3613;1455;...;7616;...;4316;15072;4287;...;...;...;...;...;2574;2588;6135;30902;2891;1769;6077;4482;...
